trace_type q lam checks checks_lo checks_hi netrew netrew_lo netrew_hi slope100 slope100_lo slope100_hi belief_leave disaster qgap pers winstay loseshift
0 0.8 0.6 2.932 2.77988 3.08412 -0.2016 -0.234931 -0.168269 0.162447 0.113266 0.211628 0.0322159 0.0055 1.16746 0.745536 0.760571 0.446837
0 0.8 0.8 3.0055 2.80912 3.20188 -0.220275 -0.253169 -0.187381 0.184519 0.0951322 0.273906 0.0313959 0.007 0.906396 0.70625 0.675041 0.457483
0 0.8 0.9 3.0815 2.8199 3.3431 -0.239075 -0.285817 -0.192333 0.25268 0.146172 0.359188 0.0316211 0.0085 1.40645 0.674107 0.633253 0.471943
0 0.8 0.95 2.8885 2.65656 3.12044 -0.174425 -0.207591 -0.141259 0.148252 0.0653501 0.231153 0.0323171 0.003 1.07677 0.64375 0.596849 0.455777
0 0.8 0.99 2.764 2.5342 2.9938 -0.1832 -0.228283 -0.138117 0.154124 0.0857149 0.222533 0.0326903 0.0045 0.945046 0.588393 0.536831 0.496028
0 0.95 0 2.223 2.08241 2.36359 -0.17615 -0.21127 -0.14103 0.0472723 -0.0095892 0.104134 0.0113215 0.0065 0.668666 0.7875 0.8603 0.373981
0 0.95 0.2 2.289 2.14331 2.43469 -0.14945 -0.174829 -0.124071 0.0334155 -0.0460801 0.112911 0.0100091 0.0035 0.465522 0.754464 0.823917 0.404698
0 0.95 0.4 2.3255 2.20528 2.44572 -0.186275 -0.214497 -0.158053 0.0862862 0.0297381 0.142834 0.0100013 0.007 0.867461 0.752679 0.796418 0.434622
0 0.95 0.6 2.277 2.1193 2.4347 -0.15885 -0.191492 -0.126208 0.0588472 -0.0013445 0.119039 0.00971876 0.0045 0.582764 0.7375 0.755368 0.436471
0 0.95 0.8 2.1605 2.01082 2.31018 -0.158025 -0.183252 -0.132798 0.0247787 -0.0432559 0.0928134 0.0117569 0.005 0.526777 0.686607 0.689446 0.476108
0 0.95 0.9 2.229 2.0578 2.4002 -0.15145 -0.18532 -0.11758 0.0502273 -0.0114537 0.111908 0.0116114 0.004 0.554743 0.669643 0.636416 0.467895
0 0.95 0.95 2.233 2.08078 2.38522 -0.14665 -0.176705 -0.116595 0.0278917 -0.0321267 0.0879102 0.0114765 0.0035 0.507162 0.635714 0.583672 0.48783
0 0.95 0.99 2.277 2.12639 2.42761 -0.16385 -0.194702 -0.132998 0.0619743 0.00698044 0.116968 0.0113901 0.005 0.482446 0.579464 0.57309 0.475605
