generator true_lam true_eps hat_single_q hat_multi_q bias_single bias_multi bias_reduction_pct obs_q60 obs_q80 obs_q95
0 0 0.2 0.37 0.9 0.37 0.9 -143.243 3.93817 2.58065 1.92473
1 0.9 0 0.075 0.0775 0.075 0.0775 -3.33333 3.03763 2.72849 2.41935
